Accuracy,Precision,Recall,F1,AUC
0.8945284742665719,0.8964457646215302,0.9968109339407745,0.9439680742058998,0.7354366195984848
0.8931072987513958,0.9024898426919471,0.9866742596810933,0.942706349638174,0.7289283746908026
0.8964572124657395,0.9011579818031431,0.9927107061503417,0.9447214394103621,0.7487044552065321
0.6787128210333976,0.9431728492501973,0.6805239179954442,0.7906053589149852,0.7374361133975231
0.8895543599634554,0.9068119314575841,0.9764236902050114,0.9403312493144674,0.726042391140207
0.8861029337123135,0.911986227673768,0.965375854214123,0.9379218767290031,0.735046653437381
0.6807430717693636,0.9430728101902814,0.6830296127562643,0.7922584054428958,0.7376225357265154
0.890772510405035,0.9064148554547373,0.9784738041002278,0.9410669295651223,0.7270783484236519
0.8884377220586742,0.9119382173120241,0.9683371298405467,0.9392918300834115,0.7371634986568659
0.8933103238249924,0.8932532817747023,0.9997722095671981,0.9435158811200085,0.5851500736969047
0.7104862450512638,0.9414655942806077,0.7199316628701594,0.8159287466115915,0.7358443453311468
0.7103847325144655,0.94132539091586,0.7199316628701594,0.8158760890609874,0.7358520021524174
